NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06600893,Sham-Controlled Prospective Study Characterizing Erectile Tissue Ultrasound Changes Resulting From Penile LiSWT,https://clinicaltrials.gov/study/NCT06600893,,COMPLETED,NO,Erectile Dysfunctions,DEVICE: Low intensity shockwave therapy (LiSWT)|DEVICE: Sham,"Grayscale ultrasound (GUS), Changes from low intensity shockwave treatment using Grayscale ultrasound to assess erectile tissue homogeneity of the corpora cavernosa comparing sham and active treatment groups, Baseline to follow up visit 1 at week 20, and follow up visit 2 at week 32 for those assigned initially to the active arm and week 40 to those initially assigned to sham|Duplex Doppler ultrasound (DUS), Changes from low intensity shockwave treatment in peak systolic velocity (PSV) and end diastolic velocity (EDV) using color duplex Doppler ultrasound comparing sham and active treatment groups, Baseline to follow up visit 1 at week 20, and follow up visit 2 at week 32 for those assigned initially to the active arm and week 40 to those initially assigned to sham","International Index of Erectile Function (IIEF), Changes in IIEF, a validated patient reported outcome instrument used to assess sexual function will be compared from baseline to both follow up visit. This has a 4 week recall., Baseline to follow up visit 1 at week 20, and follow up visit 2 at week 32 for those assigned initially to the active arm and week 40 to those initially assigned to sham|IIEF Erectile Function Domain (IIEF-EF), Changes in the erectile function domain, IIEF-EF, used specifically to assess erectile function, will be compared from baseline to both follow up visit. This is a 4 week recall., Baseline to follow up visit 1 at week 20, and follow up visit 2 at week 32 for those assigned initially to the active arm and week 40 to those initially assigned to sham|Sexual Encounter Profile (SEP), The SEP diary is a standard assessment completed by a participant after each attempt at sexual activity., Completed over the 4 week screening period, and during the 4 weeks prior to each follow up","International Prostate Symptom Score (IPSS), The IPSS is a validated patient reported outcome instrument to assesses lower urinary tract symptoms, comparing baseline to follow up visits in active and sham groups., Baseline to follow up visit 1 at week 20, and follow up visit 2 at week 32 for those assigned initially to the active arm and week 40 to those initially assigned to sham",San Diego Sexual Medicine,,MALE,"ADULT, OLDER_ADULT",NA,35,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",SDSM-2019-02.1,2019-08-05,2022-06-22,2023-04-07,2024-09-19,,2024-09-19,"San Diego Sexual Medicine, San Diego, California, 92120, United States",
NCT00351065,Phase II Trial of SK3530 in Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00351065,,TERMINATED,NO,Male Erectile Dysfunction,DRUG: SK3530,IIEF Q3 & Q4,① Other IFF Questions: Assessment by Domain|② SEP Q2 & Q3: Based on the patient's diary|* SEP: Sexual Encounter Profile|③ GEAQ(Global Efficacy Assessment Question)|: Did the last 4-week treatment improve your erectile function?,,"SK Chemicals Co., Ltd.",,MALE,"ADULT, OLDER_ADULT",PHASE2,120,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,SK3530_II_2004,2004-09,,2005-03,2006-07-12,,2006-07-12,,
NCT05231083,Genital Nerves Stimulation for Treatment for Erectile Dysfunction,https://clinicaltrials.gov/study/NCT05231083,GNS,NOT_YET_RECRUITING,NO,Erectile Dysfunction,DEVICE: Genital Nerves Stimulation,"Transcutaneous electrical stimulation of the Genital Nerves for treatment ED, Examining the efficacy of transcutaneous genital nerve stimulation (TENS) in the treatment of ED utilizing the International Index of Erectile Function-15 score:

A. Erectile function (Q1,2,3,4,5,15): Max score 30 B. Orgasmic function (Q9,19): Max score 10 C: Sexual desire (Q11,12): Max score 10 D: Intercourse satisfaction (Q6,7,8): Max score 15 E: Overall satisfaction (Q13,14): Max Score 10

IEEFscores \<14 out of 39 in domain A (erectile function) may be considered for therapy and referred for specialist investigation., 6 months","Quality of erection by using two different frequency of stimulation, The quality of erection by using the Erectile Function-15 score will be compared between two different frequency of stimulation, 20 and 60Hz with following scores:

A. Erectile function (Q1,2,3,4,5,15): Max score 30 B. Orgasmic function (Q9,19): Max score 10 C: Sexual desire (Q11,12): Max score 10 D: Intercourse satisfaction (Q6,7,8): Max score 15 E: Overall satisfaction (Q13,14): Max Score 10 IEEFscores \<14 out of 39 in domain A (erectile function) may be considered for therapy and referred for specialist investigation., 60 months",,Prof. Dr. med. Marc Possover,,MALE,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,ED1,2025-02-01,2025-08-01,2025-09-01,2022-02-09,,2023-05-06,"Possover, Zürich, 8008, Switzerland",
NCT05385822,Pelvic Floor Muscle Training in the Treatment of Erectile Dysfunction,https://clinicaltrials.gov/study/NCT05385822,,RECRUITING,NO,Erectile Dysfunction,BEHAVIORAL: Pelvic Floor Muscle Training,"Clinically significant improvements in erectile function, The proportion of patients who achieve clinically significant improvements in the erectile function (EF) domain of the International Index of Erectile Function (IIEF) after 3 months of pelvic floor training or observation in an intention-to-treat analysis (assessed 1 month after the last training session). This is defined according to Rosen et al. (mild ED: 2 points; moderate ED: 5 points; severe ED: 7 points), 1 month after first pelvic floor muscle training session|Clinically significant improvements in erectile function, The proportion of patients who achieve clinically significant improvements in the erectile function (EF) domain of the International Index of Erectile Function (IIEF) after 3 months of pelvic floor training or observation in an intention-to-treat analysis (assessed 1 month after the last training session). This is defined according to Rosen et al. (mild ED: 2 points; moderate ED: 5 points; severe ED: 7 points), 4 months after first pelvic floor muscle training session|Clinically significant improvements in erectile function, The proportion of patients who achieve clinically significant improvements in the erectile function (EF) domain of the International Index of Erectile Function (IIEF) after 3 months of pelvic floor training or observation in an intention-to-treat analysis (assessed 1 month after the last training session). This is defined according to Rosen et al. (mild ED: 2 points; moderate ED: 5 points; severe ED: 7 points), 6 months after first pelvic floor muscle training session|Clinically significant improvements in erectile function, The proportion of patients who achieve clinically significant improvements in the erectile function (EF) domain of the International Index of Erectile Function (IIEF) after 3 months of pelvic floor training or observation in an intention-to-treat analysis (assessed 1 month after the last training session). This is defined according to Rosen et al. (mild ED: 2 points; moderate ED: 5 points; severe ED: 7 points), 12 months after first pelvic floor muscle training session","Changes in the International Index of Erectile Function questionnaire category; orgasmic function. Items 9-10. Score range: 0-5. Maximum score: 10., Low score points represent a reduced orgasmic function whereas high score points represent a better/improved orgasmic function. The scores will be calculated and compared between groups as continuous variables., 1 month after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; orgasmic function. Items 9-10. Score range: 0-5. Maximum score: 10., Low score points represent a reduced orgasmic function whereas high score points represent a better/improved orgasmic function. The scores will be calculated and compared between groups as continuous variables., 4 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; orgasmic function. Items 9-10. Score range: 0-5. Maximum score: 10., Low score points represent a reduced orgasmic function whereas high score points represent a better/improved orgasmic function. The scores will be calculated and compared between groups as continuous variables., 6 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; orgasmic function. Items 9-10. Score range: 0-5. Maximum score: 10., Low score points represent a reduced orgasmic function whereas high score points represent a better/improved orgasmic function. The scores will be calculated and compared between groups as continuous variables., 12 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; sexual desire. Items 11-12. Score range: 1-5. Maximum score: 10., Low score points represent a reduced sexual desire whereas high score points represent a high sexual desire. The scores will be calculated and compared between groups as continuous variables., 1 month after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; sexual desire. Items 11-12. Score range: 1-5. Maximum score: 10., Low score points represent a reduced sexual desire whereas high score points represent a high sexual desire. The scores will be calculated and compared between groups as continuous variables., 4 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; sexual desire. Items 11-12. Score range: 1-5. Maximum score: 10., Low score points represent a reduced sexual desire whereas high score points represent a high sexual desire. The scores will be calculated and compared between groups as continuous variables., 6 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; sexual desire. Items 11-12. Score range: 1-5. Maximum score: 10., Low score points represent a reduced sexual desire whereas high score points represent a high sexual desire. The scores will be calculated and compared between groups as continuous variables., 12 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; intercourse satisfaction. Items 6-8. Score range: 0-5. Maximum score: 15., Low score points represent a reduced intercourse satisfaction whereas high score points represent high intercourse satisfaction. The scores will be calculated and compared between groups as continuous variables., 1 month after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; intercourse satisfaction. Items 6-8. Score range: 0-5. Maximum score: 15., Low score points represent a reduced intercourse satisfaction whereas high score points represent high intercourse satisfaction. The scores will be calculated and compared between groups as continuous variables., 4 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; intercourse satisfaction. Items 6-8. Score range: 0-5. Maximum score: 15., Low score points represent a reduced intercourse satisfaction whereas high score points represent high intercourse satisfaction. The scores will be calculated and compared between groups as continuous variables., 6 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; intercourse satisfaction. Items 6-8. Score range: 0-5. Maximum score: 15., Low score points represent a reduced intercourse satisfaction whereas high score points represent high intercourse satisfaction. The scores will be calculated and compared between groups as continuous variables., 12 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; overall satisfaction. Items 13-14. Score range: 1-5. Maximum score: 10., Low score points represent a reduced overall satisfaction whereas high score points represent high overall satisfaction. The scores will be calculated and compared between groups as continuous variables., 1 month after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; overall satisfaction. Items 13-14. Score range: 1-5. Maximum score: 10., Low score points represent a reduced overall satisfaction whereas high score points represent high overall satisfaction. The scores will be calculated and compared between groups as continuous variables., 4 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; overall satisfaction. Items 13-14. Score range: 1-5. Maximum score: 10., Low score points represent a reduced overall satisfaction whereas high score points represent high overall satisfaction. The scores will be calculated and compared between groups as continuous variables., 6 months after first pelvic floor muscle training session|Changes in the International Index of Erectile Function questionnaire category; overall satisfaction. Items 13-14. Score range: 1-5. Maximum score: 10., Low score points represent a reduced overall satisfaction whereas high score points represent high overall satisfaction. The scores will be calculated and compared between groups as continuous variables., 12 months after first pelvic floor muscle training session|Participant satisfaction, Subjective participant satisfaction assessed using a modified version of the patient version of the Erectile Dysfunction Inventory of Treatment Satisfaction (EDITS) questionnaire after treatment. This analysis will be performed as an intention-to-treat analysis without correction for missing data. Each EDITS item is scored from 0 to 4, with higher scores indicating greater treatment satisfaction. The mean EDITS questionnaire score is multiplied by 25, yielding a standardized EDITS index of treatment satisfaction score, ranging from 0 (low satisfaction) to 100 (extremely high satisfaction)., 4 months after first pelvic floor muscle training|Changes in the International Prostate Symptom Score, Changes in the International Prostate Symptom Score will be assessed from all the participants. The IPSS is made up of 7 questions related to voiding symptoms. A score of 0 to 7 indicates mild symptoms, 8 to 19 indicates moderate symptoms and 20 to 35 indicates severe symptoms., 1 month after first pelvic floor muscle training session|Changes in the International Prostate Symptom Score, Changes in the International Prostate Symptom Score will be assessed from all the participants. The IPSS is made up of 7 questions related to voiding symptoms. A score of 0 to 7 indicates mild symptoms, 8 to 19 indicates moderate symptoms and 20 to 35 indicates severe symptoms., 6 months after first pelvic floor muscle training session|Changes in the International Prostate Symptom Score, Changes in the International Prostate Symptom Score will be assessed from all the participants. The IPSS is made up of 7 questions related to voiding symptoms. A score of 0 to 7 indicates mild symptoms, 8 to 19 indicates moderate symptoms and 20 to 35 indicates severe symptoms., 12 months after first pelvic floor muscle training session",,Herlev and Gentofte Hospital,,MALE,"ADULT, OLDER_ADULT",NA,80,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,PRE-Train Project,2022-05-01,2024-03,2025-03,2022-05-23,,2022-05-23,"Urological Research Unit, Herlev, Hovedstaden, 2730, Denmark",
NCT06433596,Autologous PRP and Focal Shock Waves for Erectile Dysfunction,https://clinicaltrials.gov/study/NCT06433596,,RECRUITING,NO,Erectile Dysfunction,OTHER: Platelet-rich plasma|OTHER: Shock waves therapy|OTHER: Placebo PRP|OTHER: Sham shock waves therapy,"Change in IIEF-EF score, Change in International Index of Erectile Function - Erectile Function domain (IIEF-EF) score between baseline and week 21 (3 months after completion of treatment), From enrollment to the third month of follow-up at 21 weeks","Change in IIEF-EF score 1- month follow-up, Change in International Index of Erectile Function - Erectile Function domain (IIEF-EF) score between baseline measurement and measurement at week 13, From enrollment to the first month of follow-up at 13 weeks|Change in IIEF-EF score 6 months follow-up, Change in IIEF-EF score between baseline measurement and measurement at week 33, From enrollment to the sixth month of follow-up at 33 weeks|Minimum clinically significant difference, Proportion of patients achieving the minimum clinically significant difference in the IIEF-EF score (5 points), From enrollment to the first, third and sixth month of follow-up at 13, 21, and 33 weeks|Change in Erection Hardness Score (EHS), Change in EHS between baseline measurement and measurement at weeks 13, 21, and 33, From enrollment to the first, third and sixth month of follow-up at 13, 21, and 33 weeks|Ability to penetrate, Proportion of patients who accomplish to penetrate after treatment, evaluated by the change in the EHS from 1 or 2 at baseline to 3 or 4 in weeks 13, 21 and 33., From enrollment to the first, third and sixth month of follow-up at 13, 21, and 33 weeks|Quality of sexual life, Change in the score of the sexual quality of life questionnaire (SLQQ) between the baseline measurement and the measurement at weeks 13, 21 and 33., From enrollment to the first, third and sixth month of follow-up at 13, 21, and 33 weeks|Global assessment, Change in the score of the global assessment questionnaire (GAQ) at weeks 13, 21 and 33., From enrollment to the first, third and sixth month of follow-up at 13, 21, and 33 weeks|Adverse events incidence, Incidence of PRP-related adverse events during the study, From the first intervention to end of follow-up at 33 weeks",,Elexial Research Limited,Boston Medical Group,MALE,"ADULT, OLDER_ADULT",NA,116,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",PRP-SW-03|2022-002985-34,2024-05-06,2026-06,2026-12,2024-05-29,,2024-05-29,"Boston Medical Group Spain S.L.U, Madrid, 28046, Spain",
NCT06163157,Investigation of the Effectiveness of Connective Tissue Massage in Individuals With Erectile Dysfunction Symptoms,https://clinicaltrials.gov/study/NCT06163157,,RECRUITING,NO,Erectile Dysfunction,OTHER: Connective tissue massage(CTM),"The International Index of Erectile Function (IIEF-5), İt is a 5-question questionnaire used to assess erectile dysfunction. Patients' answers to each question are scored between 1 and 5. A total score above 21 indicates normal erectile function, while a score of 21 and below indicates ED. According to the total score obtained from the scale, ED is divided into 4 categories. Severe (1-7), moderate (8-11), moderate to mild (12-16), mild (17-21) and no ED (22-25)., Change from baseline at 4 weeks|Premature Ejaculation Diagnostic Tool (PEDT), İt is a 5-question questionnaire that evaluates control, frequency, minimum stimulation, distress and interpersonal difficulty parameters related to premature ejaculation (PE). A total score of 8 indicates no PE, 9-10 indicates possible PE, and a score equal to or higher than 11 indicates PE., Change from baseline at 4 weeks|Composite Autonomic Symptom Score (COMPASS 31), İt is a 31-question questionnaire that assesses autonomic symptoms in 6 different areas: orthostatic intolerance, vasomotor, secretomotor, gastrointestinal, bladder function and pupillomotor. Survey score varies between 0-100 points. A high score on the questionnaire indicates the presence and severity of autonomic dysfunction., Change from baseline at 4 weeks","Depression Anxiety Stress Scale (DASS-21), It evaluates the condition of the individual in the last week. It is a 21-question questionnaire consisting of 3 subscales: depression, anxiety and stress. Survey score varies between 0-63 points. A high score on the questionnaire indicates the presence and severity of depression, anxiety and stress., Change from baseline at 4 weeks|Quality of Life Questionnaire (SF-36), It is a 36-question questionnaire consisting of 8 subscales including physical function, physical role, emotional role, pain, vitality, general health and mental health. Survey score varies between 0-100 points. A high score obtained from the questionnaire indicates that the individual has a good quality of life., Change from baseline at 4 weeks",,Bitlis Eren University,,MALE,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,ED-CTM,2023-12-21,2024-12-21,2024-12-21,2023-12-08,,2024-03-08,"Bitlis Eren University, Bitlis, 13000, Turkey",
NCT03849586,Registry for Patients Undergoing Penile Prosthesis Implantation for Male Erectile Dysfunction,https://clinicaltrials.gov/study/NCT03849586,PHOENIX,ACTIVE_NOT_RECRUITING,NO,Erectile Dysfunction,,"Patient Satisfaction score, Patient Satisfaction score is defined as the mean patient satisfaction score as indicated by the Modified Patient EDITS Questionnaire. All items on the Patient EDITS will be scored from zero (no satisfaction or dissatisfaction) to four (high satisfaction). The mean satisfaction score for each patient will be calculated. To place scores in an easily interpretable metric, each mean score will be multiplied by 25 so that EDITS scores could range from a low of 0 (extremely low treatment satisfaction) to a high of 100 extremely high treatment satisfaction)., at week 12, year 1, 2, 4, 6, 8 and 10 after surgery","Partner Satisfaction score, Partner Satisfaction score is defined as the mean partner satisfaction score as indicated by the Modified Partner EDITS Questionnaire. All items on the Partner EDITS will be scored from zero (no satisfaction or dissatisfaction) to four (high satisfaction). The mean satisfaction score for the partner will be calculated. To place scores in an easily interpretable metric, each mean score will be multiplied by 25 so that EDITS scores could range from a low of 0 (extremely low treatment satisfaction) to a high of 100 extremely high treatment satisfaction)., at week 12, year 1, 2, 4, 6, 8 and 10 after surgery|Patient satisfaction rate, The number of patients with an EDITS score ≥ 50 compared to the total number of patients, at week 12, year 1, 2, 4, 6, 8 and 10 after surgery|Partner satisfaction rate, The number of partners with an EDITS score ≥ 50 compared to the total number of partners, at week 12, year 1, 2, 4, 6, 8 and 10 after surgery|Overall time being satisfied with treatment since implantation, The interval from the date of regaining a patient EDITS score of 50 or more until the time of EDITS score of less than 50, up to 10 years post surgery|International Index of Erectile Function - 5 (IIEF short form/SHIM) questionnaire, The IIEF-5 score is the sum of the ordinal responses to five items; thus, the score can range from 0 to 25. Erectile Dysfunction (ED) severity can be classified into the following five categories based on IIEF-5 scores; severe (0-7), moderate (8-11), mild to moderate (12-16), mild (17-21), and no ED (22- 25). Mean IIEF-5 scores will be calculated at the indicated time points and numbers / percentages of patients in the different ED severity categories. Also change in IIEF-5 score compared to baseline will be calculated., at baseline, week 12, year 1, 2, 4, 6, 8 and 10 after surgery|Sexual Encounter Profile (SEP) questions 2 and 3, For SEP question 2 and 3, scores are percentage of yes responses relative to number of sexual attempts/encounters. Proportions of yes responses will be treated as continuous variables. Post-operative results will also be compared to baseline., at baseline, week 12, year 1, 2, 4, 6, 8 and 10 after surgery|EQ-5D-5L quality of life questionnaire, Results of the EQ-5D-5L quality of life questionnaire will be analyzed as described in the EuroQol EQ-5D-5L user guide. Post-operative results will also be compared to baseline., at baseline, week 12, year 1, 2, 4, 6, 8 and 10 after surgery|Quality of Life and Sexuality with Penile Prosthesis (QoLSPP) questionnaire, QoLSPP is a 16-item questionnaire, with 4 domains: the functional, relational, social and personal domain. Responses are structured according to a six-point Likert scale, in most cases ranging from ""never"" (0) to ""always"" (5), where higher values represent more positive responses. Individual item scores will be analyzed as well as domain scores., at week 12, year 1, 2, 4, 6, 8 and 10 after surgery|Complications, Type of complications, associated symptoms and whether or not a revision was needed will be recorded., during surgery and up to 10 years after surgery|Immediate Postoperative complications, Type of complications, associated symptoms and whether or not a revision was needed will be recorded and classified according to the Clavien Dindo grading system., until 2 weeks after surgery|Time of first activation, first cycling, first use, first intercourse, first orgasm, if applicable, The date of first cycling (inflating and deflating the prosthesis several times), the date of first activation and first use for sexual activity, the date of first sexual intercourse and the date of first orgasm, if applicable, will be reported., up to 10 years post surgery|Time being revision-free, The interval from the date of surgery to the date of revision whereby revision is defined as any urogenital surgical intervention that is related to the function, placement, or site reaction to the implanted device, up to 10 years post surgery|Revision-free rate, The number of patients who are revision-free compared to the total number of patients., at 1, 2, 4, 6, 8 and 10 years of Registry follow-up",,European Association of Urology Research Foundation,Boston Scientific Corporation|Coloplast A/S,MALE,"ADULT, OLDER_ADULT",,1076,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,EAU-RF 2018-01,2021-11-19,2032-02,2032-02,2019-02-21,,2024-08-05,"University Hospital Antwerp, Antwerp, Belgium|AZ Sint-Jan, Brugge, Belgium|AZ Maria Middelares, Gent, Belgium|Jessa Hospital, Hasselt, Belgium|UZ Leuven, Leuven, Belgium|CHU Lyon Sud, Lyon, France|University Hospital Essen (AöR), Essen, Germany|University Hospital Schleswig Holstein, Lübeck, Germany|IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy|Azienda Ospedaliero-Universitaria ""Ospedali Riuniti"" di Foggia, Foggia, Italy|San Raffaele Hospital, Milan, Italy|Casa di Cura Città di Parma, Parma, Italy|Centro Hospitalar Universitario Lisboa Norte, Lisboa, Portugal|Fundació Puigvert, Barcelona, Spain|Hospital Clínic de Barcelona, Barcelona, Spain|Hospital Germans Trias i Pujol, Barcelona, Spain|Hospital Universitari de Bellvitge, Barcelona, Spain|Hospital Universitario HM Montepríncipe, Boadilla del Monte, Spain|Hospital General Universitario Gregorio Marañon, Madrid, Spain|Hospital Universitario 12 Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario La Zarzuela, Madrid, Spain|Lyx Institute of Urology, Madrid, Spain|Hospital Universitario Puerta de Hierro Majadahonda, Majadahonda, Spain|Hospital Universitario Rey Juan Carlos, Móstoles, Spain|Instituto Médico Rosselló, Palma De Mallorca, Spain|Marques de Valdecilla University Hospital, Santander, Spain|Lund University, Skane Hospital,, Malmö, Sweden|Karolinska University Hospital, Stockholm, Sweden|St.George's University Hospital, London, United Kingdom|UCLH, London, United Kingdom",
NCT02492386,Bioabsorbable Everolimus-Eluting Stents for Internal Pudendal Artery-Related Arteriogenic Erectile Dysfunction,https://clinicaltrials.gov/study/NCT02492386,,UNKNOWN,NO,"Impotence, Arteriogenic",DEVICE: Bioabsorbable everolimus-eluting stent deployment,"CT angiographic binary restenosis, Binary restenosis is defined as \>=50% lumen diameter stenosis, 6 months","Diameter measured by invasive angiography, Diameter will be measured by invasive angiography at in-stent, peri-stent, and in-segment sections, 6-9 months|Diameter stenosis measured by invasive angiography, Diameter stenosis will be measured by invasive angiography at in-stent, peri-stent, and in-segment sections, 6-9 months|Late loss measured by invasive angiography, Late loss will be measured by invasive angiography at in-stent, peri-stent, and in-segment sections, 6-9 months|International Index of Erectile Function (IIEF)-5 score, 1, 3, 6, and 12 months|Major adverse events, Major adverse events are defined as procedure-related death, occurrence of perineal hematoma, gangrene or necrosis (glans penis, penile shaft, scrotal, or anal), or the need for subsequent perineal, penile, or anal surgery (including target-lesion or vessel revascularization or arterial embolization procedures)., 1, 3, 6, and 12 months",,National Taiwan University Hospital,Abbott,MALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,15,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,201501059DIPB,2015-07,2016-09,2017-03,2015-07-08,,2015-07-08,,
NCT00687206,Efficacy and Safety of Valsartan Plus Hydrochlorothiazide in Patients With Slight Hypertension and Target Organ Damage,https://clinicaltrials.gov/study/NCT00687206,,COMPLETED,NO,Hypertension|Ventricular Remodeling|Erectile Dysfunctions,DRUG: Valsartan 160mg plus HCT 25mg,"The aim of this study is to assess if an early and adequate therapy could bring to a better pressure control (even during physical activity) and a regression of organ damage assessed by bicycle stress test and mono-bidimensional echocardiography., 3 and 6 months","Effects of Valsartan 160mg / HCT 25mg on metabolism and erectile function, 3 and 6 months",,Federico II University,,MALE,"ADULT, OLDER_ADULT",PHASE4,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,Val25/08,2008-03,2008-05,2008-12,2008-05-30,,2009-01-29,"Department of internal medicine University Federico II, Naples, 80131, Italy",
NCT06121687,Shaeer's Vein Ligation-I: Internal Pudendal Vein Sub-Gluteal Ligation For Veno Occlusive Erectile Dysfunction,https://clinicaltrials.gov/study/NCT06121687,Shaeer-I,NOT_YET_RECRUITING,NO,Erectile Dysfunction,PROCEDURE: Shaeer-I|PROCEDURE: PPI,"Treatment Satisfaction Scale, A questionnaire to assess satisfaction with the results of surgery, 6 months|International Index of Erectile Function, A questionnaire to assess erectile function, 6 months","Complications, Complications - if any - shall be recorded, 6 months",,Kasr El Aini Hospital,,MALE,"ADULT, OLDER_ADULT",NA,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,Shaeer's Vein Ligation-I,2024-01,2025-01,2025-02,2023-11-08,,2023-11-08,"Kasr El Aini Faculty of Medicine, Cairo University, Cairo, 12311, Egypt",
